A:PPT页,B:第几条,C:引用语义,D:PPT引文完整字段,E:DOI,F:类型,G:对应PDF文件,H:来源链接
24,1,,"Schoettler ML, et al. Transplant Cell Ther. 2023 Mar;29(3):151-163.",10.1016/j.jtct.2022.11.024,LITERATURE,,DOI: 10.1016/j.jtct.2022.11.024 | https://pubmed.ncbi.nlm.nih.gov/?term=10.1016/j.jtct.2022.11.024 | https://europepmc.org/search?query=10.1016/j.jtct.2022.11.024 | https://doi.org/10.1016/j.jtct.2022.11.024
24,2,,"中华医学会血液学分会造血干细胞应用学组. 造血干细胞移植相关血栓性微血管病诊断和治疗中国专家共识(2021年版) [J] . 中华血液学杂志, 2021, 42(3) : 177-184",,LITERATURE,,https://rs.yiigle.com/cmaid/1421150
24,3,,"张赵光, 董琳. 移植相关性血栓性微血管病临床研究[J]. 临床医学进展, 2022, 12(11): 10863-10869",,LITERATURE,Pn-S24_3.pdf,https://www.chndoi.org/10.12677/ACM.2022.121532
25,1,,"Jodele S, et al. Blood. 2014;123(13):2071-2079.",10.1182/blood-2014-03-564997,LITERATURE,Pn-S25_1.pdf,DOI: 10.1182/blood-2014-03-564997 | https://pubmed.ncbi.nlm.nih.gov/?term=10.1182/blood-2014-03-564997 | https://europepmc.org/search?query=10.1182/blood-2014-03-564997 | https://doi.org/10.1182/blood-2014-03-564997
25,2,,非典型溶血尿毒综合征多学科诊疗实践专家共识（2025版）. 中华内科杂志. 2025;64(5):396-411.,,LITERATURE,,
25,3,,"Timmermans SAMEG, et al. J Clin Med. 2021;10(14):3034.",10.3390/jcm10143034,LITERATURE,Pn-S25_3.pdf,DOI: 10.3390/jcm10143034 | https://pubmed.ncbi.nlm.nih.gov/?term=10.3390/jcm10143034 | https://europepmc.org/search?query=10.3390/jcm10143034 | https://doi.org/10.3390/jcm10143034
27,1,,"Sakari Jokiranta T, et al. BMC Nephrol. 2017 Oct 28;18(1):324.",10.1186/s12882-017-0727-y,LITERATURE,Pn-S27_1.pdf,DOI: 10.1186/s12882-017-0727-y | https://pubmed.ncbi.nlm.nih.gov/?term=10.1186/s12882-017-0727-y | https://europepmc.org/search?query=10.1186/s12882-017-0727-y | https://doi.org/10.1186/s12882-017-0727-y
28,1,,Lazana I. Int J Mol Sci. 2023 Jan 6;24(2):1159.,10.3390/ijms24119358,LITERATURE,Pn-S28_1.pdf,DOI: 10.3390/ijms24119358 | https://pubmed.ncbi.nlm.nih.gov/?term=10.3390/ijms24119358 | https://europepmc.org/search?query=10.3390/ijms24119358 | https://doi.org/10.3390/ijms24119358
28,2,,"Renaud A, et al. PLoS One. 2021 Nov 19;16(11):e0260196.",10.1371/journal.pone.0260196,LITERATURE,Pn-S28_2.pdf,DOI: 10.1371/journal.pone.0260196 | https://pubmed.ncbi.nlm.nih.gov/?term=10.1371/journal.pone.0260196 | https://europepmc.org/search?query=10.1371/journal.pone.0260196 | https://doi.org/10.1371/journal.pone.0260196
28,3,,"Limin H, et al. Journal of Clinical and Nursing Research. 2023;7(5):28-31.",,LITERATURE,Pn-S28_3.pdf,
28,4,,"Mahmoud AA, et al. Am J Hematol. 2023 Jul;98(7):E161-E164.",10.1002/ajh.26926,LITERATURE,,DOI: 10.1002/ajh.26926 | https://pubmed.ncbi.nlm.nih.gov/?term=10.1002/ajh.26926 | https://europepmc.org/search?query=10.1002/ajh.26926 | https://doi.org/10.1002/ajh.26926
29,1,,"Ronald S ,et al.Mayo Clin Proc . 2016 Sep;91(9):1189-211.",10.1016/j.mayocp.2016.05.015,LITERATURE,,DOI: 10.1016/j.mayocp.2016.05.015 | https://pubmed.ncbi.nlm.nih.gov/?term=10.1016/j.mayocp.2016.05.015 | https://europepmc.org/search?query=10.1016/j.mayocp.2016.05.015 | https://doi.org/10.1016/j.mayocp.2016.05.015
29,2,,"Sridharan M, Go R S, Abraham R S, et al. Elsevier, 2018, 93(10): 1351-1362.",,LITERATURE,,
30,2,,"非典型溶血尿毒综合征多学科共识协作组. 中华内科杂志,2025,64(5):396-411.",,LITERATURE,,
30,3,,"Uriol Rivera MG, et al. Plos one, 2018, 13(11): e0206558.",,LITERATURE,Pn-S30_3.pdf,
30,4,,"Gordon CE, et al. Am J Kidney Dis 2017;70(5):715-721.",10.1053/j.ajkd.2017.05.017,LITERATURE,Pn-S30_4.pdf,DOI: 10.1053/j.ajkd.2017.05.017 | https://pubmed.ncbi.nlm.nih.gov/?term=10.1053/j.ajkd.2017.05.017 | https://europepmc.org/search?query=10.1053/j.ajkd.2017.05.017 | https://doi.org/10.1053/j.ajkd.2017.05.017
31,1,,"Noris M, et al. Clin J Am Soc Nephrol. 2010 Oct;5(10):1844-1859.",10.2215/CJN.04950610,LITERATURE,,DOI: 10.2215/CJN.04950610 | https://pubmed.ncbi.nlm.nih.gov/?term=10.2215/CJN.04950610 | https://europepmc.org/search?query=10.2215/CJN.04950610 | https://doi.org/10.2215/CJN.04950610
31,2,,"Jiang A, Liu Y, et al. Front Pharmacol. 2025;16:1538563",,LITERATURE,Pn-S31_2.pdf,
31,4,,"Fakhouri F, et al. Am J Kidney Dis. 2016 Jul;68(1):84-93.",10.1053/j.ajkd.2015.12.034,LITERATURE,,DOI: 10.1053/j.ajkd.2015.12.034 | https://pubmed.ncbi.nlm.nih.gov/?term=10.1053/j.ajkd.2015.12.034 | https://europepmc.org/search?query=10.1053/j.ajkd.2015.12.034 | https://doi.org/10.1053/j.ajkd.2015.12.034
31,5,,"Licht C, et al. Kidney Int. 2015 May;87(5):1061-1073.",10.1038/ki.2014.423,LITERATURE,Pn-S31_5.pdf,DOI: 10.1038/ki.2014.423 | https://pubmed.ncbi.nlm.nih.gov/?term=10.1038/ki.2014.423 | https://europepmc.org/search?query=10.1038/ki.2014.423 | https://doi.org/10.1038/ki.2014.423
31,6,,Incidence and Outcome of Meningococcal Infection With Eculizumab or Ravulizumab in Patients With Generalized Myasthenia Gravis. 2024.,,LITERATURE,Pn-S31_6.pdf,
